lambda,NAPH3_UV-vis,NAPH3-Ba_Uvvis
320,3600,2500
320.5,3600,2500
321,3600,2500
321.5,3700,2500
322,3700,2400
322.5,3700,2400
323,3800,2400
323.5,3800,2400
324,3800,2400
324.5,3800,2300
325,3800,2200
325.5,3800,2200
326,3700,2100
326.5,3600,2000
327,3500,1900
327.5,3500,1800
328,3400,1700
328.5,3300,1500
329,3200,1400
329.5,3100,1300
330,3100,1300
330.5,3000,1200
331,3000,1200
331.5,2900,1100
332,2900,1100
332.5,2800,1000
333,2800,1000
333.5,2700,900
334,2700,900
334.5,2700,900
335,2700,900
335.5,2700,900
336,2700,900
336.5,2700,900
337,2700,900
337.5,2700,1000
338,2800,1100
338.5,2800,1100
339,2800,1100
339.5,2900,1100
340,2900,1200
340.5,2800,1200
341,2800,1200
341.5,2800,1100
342,2700,1100
342.5,2700,1000
343,2600,900
343.5,2500,900
344,2500,900
344.5,2500,900
345,2400,800
345.5,2400,800
346,2400,800
346.5,2300,700
347,2300,700
347.5,2300,700
348,2300,800
348.5,2300,800
349,2300,800
349.5,2300,800
350,2300,800
350.5,2300,800
351,2300,800
351.5,2300,900
352,2300,900
352.5,2400,900
353,2400,1000
353.5,2400,1000
354,2400,1000
354.5,2400,1000
355,2400,1100
355.5,2500,1100
356,2500,1100
356.5,2500,1200
357,2500,1200
357.5,2500,1200
358,2600,1300
358.5,2600,1300
359,2600,1400
359.5,2600,1400
360,2600,1400
360.5,2700,1500
361,2700,1500
361.5,2800,1600
362,2800,1600
362.5,2800,1700
363,2800,1700
363.5,2900,1800
364,2900,1800
364.5,3000,1900
365,3000,1900
365.5,3100,2000
366,3100,2100
366.5,3200,2100
367,3200,2200
367.5,3300,2300
368,3300,2300
368.5,3400,2400
369,3400,2500
369.5,3500,2500
370,3500,2600
370.5,3600,2600
371,3600,2700
371.5,3700,2800
372,3700,2900
372.5,3800,3000
373,3900,3000
373.5,4000,3100
374,4000,3200
374.5,4100,3300
375,4100,3300
375.5,4200,3400
376,4300,3500
376.5,4400,3600
377,4500,3700
377.5,4600,3800
378,4700,3900
378.5,4700,4000
379,4800,4100
379.5,4900,4300
380,5000,4300
380.5,5100,4400
381,5200,4500
381.5,5300,4600
382,5400,4800
382.5,5500,4900
383,5500,4900
383.5,5700,5100
384,5800,5200
384.5,5900,5300
385,6000,5400
385.5,6100,5500
386,6200,5600
386.5,6300,5800
387,6400,5900
387.5,6500,6000
388,6700,6100
388.5,6800,6300
389,6900,6400
389.5,7000,6500
390,7100,6600
390.5,7300,6800
391,7400,6900
391.5,7500,7100
392,7600,7200
392.5,7800,7300
393,7900,7400
393.5,8000,7600
394,8200,7700
394.5,8300,7900
395,8500,8000
395.5,8600,8200
396,8700,8300
396.5,8800,8400
397,9000,8600
397.5,9200,8700
398,9300,8900
398.5,9500,9000
399,9600,9200
399.5,9800,9300
400,9900,9500
400.5,10100,9600
401,10200,9800
401.5,10400,9900
402,10500,10100
402.5,10600,10200
403,10800,10300
403.5,10900,10500
404,11100,10600
404.5,11200,10800
405,11400,10900
405.5,11600,11100
406,11700,11200
406.5,11900,11400
407,12000,11500
407.5,12100,11600
408,12300,11800
408.5,12400,11900
409,12600,12100
409.5,12700,12200
410,12900,12300
410.5,13000,12500
411,13200,12600
411.5,13300,12800
412,13500,12900
412.5,13600,13000
413,13800,13100
413.5,13900,13300
414,14000,13400
414.5,14200,13500
415,14300,13700
415.5,14400,13800
416,14600,13900
416.5,14700,14000
417,14800,14100
417.5,14900,14200
418,15100,14300
418.5,15200,14400
419,15300,14500
419.5,15400,14600
420,15600,14700
420.5,15700,14800
421,15800,14900
421.5,15900,15000
422,16000,15100
422.5,16100,15100
423,16200,15200
423.5,16300,15300
424,16400,15300
424.5,16500,15400
425,16500,15500
425.5,16600,15500
426,16700,15500
426.5,16800,15600
427,16800,15600
427.5,16900,15700
428,16900,15700
428.5,17000,15700
429,17000,15700
429.5,17100,15800
430,17100,15800
430.5,17200,15800
431,17200,15800
431.5,17200,15800
432,17200,15800
432.5,17200,15800
433,17300,15800
433.5,17300,15700
434,17300,15700
434.5,17300,15700
435,17300,15600
435.5,17300,15600
436,17200,15600
436.5,17200,15500
437,17200,15500
437.5,17200,15400
438,17100,15400
438.5,17100,15300
439,17000,15200
439.5,17000,15200
440,16900,15100
440.5,16900,15000
441,16800,15000
441.5,16800,14900
442,16700,14800
442.5,16600,14700
443,16500,14600
443.5,16500,14500
444,16400,14400
444.5,16300,14300
445,16200,14200
445.5,16100,14100
446,16000,14000
446.5,15900,13800
447,15800,13700
447.5,15700,13600
448,15600,13500
448.5,15500,13300
449,15400,13200
449.5,15200,13100
450,15100,12900
450.5,15000,12800
451,14800,12600
451.5,14700,12500
452,14500,12300
452.5,14400,12100
453,14200,12000
453.5,14100,11800
454,13900,11600
454.5,13700,11400
455,13600,11300
455.5,13400,11100
456,13200,10900
456.5,13000,10700
457,12800,10500
457.5,12700,10300
458,12500,10100
458.5,12300,9900
459,12100,9700
459.5,11900,9500
460,11700,9300
460.5,11500,9100
461,11300,8900
461.5,11100,8700
462,10800,8500
462.5,10600,8300
463,10400,8100
463.5,10200,7800
464,10000,7600
464.5,9800,7400
465,9600,7200
465.5,9400,7000
466,9100,6800
466.5,8900,6600
467,8700,6400
467.5,8500,6200
468,8200,6000
468.5,8000,5800
469,7800,5600
469.5,7600,5400
470,7400,5200
470.5,7100,5000
471,6900,4800
471.5,6700,4700
472,6600,4500
472.5,6400,4300
473,6200,4200
473.5,6000,4000
474,5800,3800
474.5,5600,3700
475,5400,3500
475.5,5300,3400
476,5100,3200
476.5,4900,3100
477,4700,3000
477.5,4600,2800
478,4400,2700
478.5,4300,2600
479,4100,2400
479.5,4000,2300
480,3800,2200
480.5,3700,2100
481,3600,2000
481.5,3400,1900
482,3300,1800
482.5,3200,1700
483,3000,1600
483.5,2900,1500
484,2800,1400
484.5,2700,1400
485,2600,1300
485.5,2500,1200
486,2400,1100
486.5,2300,1000
487,2200,1000
487.5,2100,900
488,2000,900
488.5,1900,800
489,1900,800
489.5,1800,700
490,1700,700
490.5,1700,600
491,1600,600
491.5,1500,500
492,1500,500
492.5,1400,400
493,1400,400
493.5,1300,400
494,1300,300
494.5,1200,300
495,1200,300
495.5,1100,300
496,1100,200
496.5,1100,200
497,1000,200
497.5,1000,200
498,1000,200
498.5,900,100
499,900,100
499.5,900,100
500,800,100
500.5,800,100
501,800,100
501.5,800,100
