time;AAN155Free;AAN155_Ba
101,92871;2,23E+02;1,46E+03
102,53906;2,25E+02;1,47E+03
103,14941;2,21E+02;1,48E+03
103,75977;2,23E+02;1,34E+03
104,37012;2,24E+02;1,45E+03
104,98047;2,44E+02;1,41E+03
105,59082;2,33E+02;1,44E+03
106,20117;2,19E+02;1,41E+03
106,81152;2,28E+02;1,41E+03
107,42188;2,27E+02;1,41E+03
108,03223;2,21E+02;1,32E+03
108,64258;2,06E+02;1,39E+03
109,25293;2,20E+02;1,42E+03
109,86328;2,26E+02;1,31E+03
110,47363;2,35E+02;1,42E+03
111,084;2,19E+02;1,41E+03
111,69434;2,07E+02;1,40E+03
112,30469;2,08E+02;1,31E+03
112,915;2,06E+02;1,35E+03
113,52539;2,09E+02;1,42E+03
114,13574;2,17E+02;1,37E+03
114,74609;2,22E+02;1,30E+03
115,35645;2,19E+02;1,29E+03
115,9668;2,03E+02;1,36E+03
116,57715;1,96E+02;1,31E+03
117,1875;1,86E+02;1,34E+03
117,79785;2,16E+02;1,35E+03
118,4082;2,13E+02;1,36E+03
119,01855;2,04E+02;1,29E+03
119,62891;1,95E+02;1,32E+03
120,23926;2,01E+02;1,24E+03
120,84961;1,90E+02;1,35E+03
121,46;1,75E+02;1,34E+03
122,07031;1,77E+02;1,25E+03
122,68066;1,87E+02;1,35E+03
123,291;1,97E+02;1,34E+03
123,90137;2,18E+02;1,31E+03
124,51172;1,96E+02;1,26E+03
125,12207;1,83E+02;1,24E+03
125,73242;1,86E+02;1,27E+03
126,34277;2,11E+02;1,31E+03
126,95313;2,13E+02;1,31E+03
127,56348;1,79E+02;1,31E+03
128,17383;2,14E+02;1,25E+03
128,78418;2,25E+02;1,23E+03
129,39453;1,74E+02;1,28E+03
130,00488;1,90E+02;1,26E+03
130,61523;1,75E+02;1,26E+03
131,22559;1,93E+02;1,22E+03
131,83594;1,75E+02;1,27E+03
132,44629;1,85E+02;1,25E+03
133,05664;1,82E+02;1,23E+03
133,667;1,94E+02;1,21E+03
134,27734;1,66E+02;1,27E+03
134,8877;1,75E+02;1,24E+03
135,498;1,76E+02;1,27E+03
136,1084;1,83E+02;1,26E+03
136,71875;1,59E+02;1,28E+03
137,3291;1,88E+02;1,25E+03
137,93945;1,91E+02;1,18E+03
138,5498;1,62E+02;1,25E+03
139,16016;1,81E+02;1,21E+03
139,77051;1,58E+02;1,25E+03
140,38086;1,82E+02;1,29E+03
140,99121;1,74E+02;1,28E+03
141,60156;1,81E+02;1,25E+03
142,21191;1,72E+02;1,28E+03
